result_dir,evaluator,method,mode,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent
out_fixed_budget_uep_low07_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,22.93317253877085,0.6729979787206819,0.8285911505421003,30.141843971631207,56.38297872340426,68.26241134751773
out_fixed_budget_uep_low07_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.79564330679305,0.6791108082847815,0.826004517258059,27.393617021276597,53.54609929078014,68.26241134751773
out_fixed_budget_uep_low07_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,22.87708159372316,0.683876117334721,0.8301449436033871,28.98936170212766,53.90070921985816,68.26241134751773
out_fixed_budget_uep_low07_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,22.877081590341337,0.6838761164100035,0.8301449423352032,28.98936170212766,53.90070921985816,68.26241134751773
out_fixed_budget_uep_low07_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,23.02152010143226,0.6739367169215746,0.8285926051490696,29.078014184397162,56.826241134751776,68.26241134751773
out_fixed_budget_uep_low07_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.800032542106955,0.6786654962504164,0.8253429504045358,26.595744680851062,53.90070921985816,68.26241134751773
out_fixed_budget_uep_low07_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,22.880741764467658,0.6833450769120497,0.829527015170307,28.19148936170213,54.166666666666664,68.26241134751773
out_fixed_budget_uep_low07_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,22.880741761085837,0.6833450779952901,0.8295270164384909,28.19148936170213,54.166666666666664,68.26241134751773
out_fixed_budget_uep_low08_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,23.050470816328172,0.6812994373394242,0.830839843297681,31.382978723404257,56.737588652482266,68.26241134751773
out_fixed_budget_uep_low08_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.994649085592716,0.686416627218326,0.8300420097108429,30.141843971631207,55.762411347517734,68.26241134751773
out_fixed_budget_uep_low08_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,23.04045061439487,0.6887649114620178,0.8321442855588088,30.673758865248228,56.826241134751776,68.26241134751773
out_fixed_budget_uep_low08_best_top1_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,23.04045061439487,0.6887649121489507,0.832144283233805,30.76241134751773,56.826241134751776,68.26241134751773
out_fixed_budget_uep_low08_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,23.053404552716735,0.6822174161355546,0.830536055966472,29.9645390070922,56.11702127659574,68.26241134751773
out_fixed_budget_uep_low08_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.936641829233643,0.6861276024199546,0.8291222303577349,30.141843971631207,55.40780141843972,68.26241134751773
out_fixed_budget_uep_low08_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,22.97823620772531,0.6884194837869905,0.8312083233861213,30.76241134751773,55.851063829787236,68.26241134751773
out_fixed_budget_uep_low08_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,22.97823619927075,0.6884194833906829,0.8312083247071462,30.76241134751773,55.851063829787236,68.26241134751773
out_fixed_budget_uep_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,learned,22.945043399824318,0.6773561621547168,0.824755940718431,28.54609929078014,57.358156028368796,68.26241134751773
out_fixed_budget_uep_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,random,22.584162608106087,0.6779225720951321,0.8171326021353403,26.06382978723404,51.861702127659576,68.26241134751773
out_fixed_budget_uep_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,all_ones,22.712866339277713,0.6860170532678459,0.8243295446778021,27.570921985815602,53.723404255319146,68.26241134751773
out_fixed_budget_uep_matched_validation/FixedBudgetUEP_validation_AWGN_c8_snr13_seed1042,tsn,fixed_budget_uep,bypass,22.712866351114098,0.6860170544567683,0.8243295429340491,27.570921985815602,53.723404255319146,68.26241134751773
out_staged_varnorm_alpha02_primary_matched_validation/StagedVarNormUEP_validation_AWGN_c8_snr13_alpha0.20_seed1042,tsn,staged_varnorm_uep,learned,23.143638337757572,0.675346849763647,0.8293331741546908,23.75886524822695,48.758865248226954,68.26241134751773
