split,family,mode,evaluator,training_seed,channel,c,snr_db,nominal_cbr,actual_cbr,channel_seed,clips,psnr_db,ssim,ms_ssim_3scale,top1_percent,top5_percent,clean_top1_percent,clean_top5_percent,official_test_used,source_summary
validation,exact_topk,learned_topk,tsn,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.699596917375604,0.6237876110624337,0.7662707365362357,19.326241134751772,40.86879432624114,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed42_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,random_topk,tsn,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.853878591923003,0.6176126549112881,0.7765986950579264,16.22340425531915,37.854609929078016,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed42_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,uniform_topk,tsn,42,AWGN,8,13.0,1/6,1/12,1042,1128,21.5887276593675,0.6180203985026542,0.7718819043209367,13.386524822695035,37.5,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed42_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,learned_topk,r2plus1d,43,AWGN,8,13.0,1/6,1/12,1042,1128,22.13901218962162,0.6281873616819263,0.785743477972264,14.893617021276595,35.99290780141844,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_seed43_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,random_topk,r2plus1d,43,AWGN,8,13.0,1/6,1/12,1042,1128,21.7864595144353,0.6228621633763008,0.7811916689289377,10.0177304964539,23.49290780141844,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_seed43_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,uniform_topk,r2plus1d,43,AWGN,8,13.0,1/6,1/12,1042,1128,21.91397749363108,0.6282803871741531,0.7849513259022793,13.918439716312056,34.04255319148936,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_seed43_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,learned_topk,tsn,43,AWGN,8,13.0,1/6,1/12,1042,1128,22.13901218793071,0.6281873617611878,0.785743477285331,20.0354609929078,41.04609929078014,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed43_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,random_topk,tsn,43,AWGN,8,13.0,1/6,1/12,1042,1128,21.786459516126214,0.6228621640103928,0.7811916688760967,17.641843971631207,38.297872340425535,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed43_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,uniform_topk,tsn,43,AWGN,8,13.0,1/6,1/12,1042,1128,21.913977507158375,0.6282803863551177,0.7849513266420534,15.691489361702128,39.804964539007095,68.26241134751773,87.76595744680851,False,out_topk50_trained_selector_seed43_tsn_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
validation,exact_topk,learned_topk,r2plus1d,44,AWGN,8,13.0,1/6,1/12,1042,1128,21.706687034444606,0.6267917147500718,0.7710362235810739,12.056737588652481,32.358156028368796,79.16666666666667,95.12411347517731,False,out_topk50_trained_selector_seed44_r2plus1d_matched_validation/TATopKMatched_validation_AWGN_c8_snr13_seed1042/summary.json
